category,action,note,owner,priority,due_date,status
Lokaler & inredning,Göra iordning gym – vad ska Åsa plocka bort,Rensa/förbered gymytan; stäm av med Åsa vad som ska bort,,,,Ej påbörjad
Lokaler & inredning,PT-rum,,,,,Ej påbörjad
Lokaler & inredning,Inredning / husgeråd,,,,,Ej påbörjad
Lokaler & inredning,Sköterskerum,,,,,Ej påbörjad
Lokaler & inredning,Ett rum + Tobbes rum över,Disponera extra rum inkl. Tobbes,,,,Ej påbörjad
Lokaler & inredning,"Tavlor, blommor, utsmyckning, högtalare",,,,,Ej påbörjad
Lokaler & inredning,Belysning,,,,,Ej påbörjad
Lokaler & inredning,Blue light / RA-belysning,Tolkning: circadian-/blåljusbelysning – verifiera,,,,Ej påbörjad
Lokaler & inredning,TV-apparater,,,,,Ej påbörjad
Lokaler & inredning,Smink & intimskydd,Amenities/förbrukning till toaletter (tolkning),,,,Ej påbörjad
Lokaler & inredning,Åsa & Pajtim samma rum,Rumsfördelning,,,,Ej påbörjad
Lokaler & inredning,Larm 24/7,Säkerhet / passersystem för 24/7,,,,Ej påbörjad
Lokaler & inredning,Lås rödljus(rum),Lås / access till rödljusrum,,,,Ej påbörjad
Lokaler & inredning,Nya lokalen – då är allt i huset klart,Milstolpe,,,,Ej påbörjad
Utrustning & installationer,SensoPro?,Utvärdera inköp,,,,Ej påbörjad
Utrustning & installationer,Installera tryckluftskammare,,,,,Ej påbörjad
Utrustning & installationer,Vending / kaffemaskin,,,,,Ej påbörjad
Utrustning & installationer,Eleiko (eller annan?),Gymutrustning – jämför leverantör,,,,Ej påbörjad
Utrustning & installationer,PEMF,,,,,Ej påbörjad
Utrustning & installationer,Scalar,,,,,Ej påbörjad
Utrustning & installationer,Vattenfilter,,,,,Ej påbörjad
Utrustning & installationer,Luftrenare,,,,,Ej påbörjad
Utrustning & installationer,Hörlurar,,,,,Ej påbörjad
Digital utveckling,Bokningssystem,,,,,Ej påbörjad
Digital utveckling,Medlemsportal med uppföljning,,,,,Ej påbörjad
Digital utveckling,Hemsida – utformning,,,,,Ej påbörjad
Digital utveckling,Ny hemsida för huset,,,,,Ej påbörjad
Digital utveckling,Tryckluftskammare.se,Egen sajt/domän,,,,Ej påbörjad
Digital utveckling,Boka direkt,Bokadirekt-integration?,,,,Ej påbörjad
Digital utveckling,Conversify på hemsidan,,,,,Ej påbörjad
Digital utveckling,Grossister kopplade mot hemsidan,Koppla grossister / e-handel,,,,Ej påbörjad
Digital utveckling,Powered by – digital infrastruktur,Digital plattform för partnernätverket,,,,Ej påbörjad
Digital utveckling,Drömtydningen,Digital avläsnings-/självförståelsetjänst,,,,Ej påbörjad
Digital utveckling,Medlemsportal kunder – uppföljning m. Claude/AI,AI-driven uppföljning,,,,Ej påbörjad
Produkter & tjänster,Poängpromenad,,,,,Ej påbörjad
Produkter & tjänster,Kaffe (eget varumärke),,,,,Ej påbörjad
Produkter & tjänster,Produkt- & tjänstekatalog,,,,,Ej påbörjad
Produkter & tjänster,Medlemskap – upplägg/nivåer,,,,,Ej påbörjad
Produkter & tjänster,Företagspaket,,,,,Ej påbörjad
Produkter & tjänster,Smoothie,,,,,Ej påbörjad
Produkter & tjänster,Produkter på hyllor (retail),,,,,Ej påbörjad
Produkter & tjänster,"Blodprover – parasit, C-vitamin",,,,,Ej påbörjad
Produkter & tjänster,Challenge företag,,,,,Ej påbörjad
Produkter & tjänster,Oura,,,,,Ej påbörjad
Produkter & tjänster,"Pulsetto, BrainTap m.fl.",,,,,Ej påbörjad
Produkter & tjänster,Kokbok,,,,,Ej påbörjad
Produkter & tjänster,DNA-test & Parasitkliniken,Lägg på hemsidan under Provtagning,,,,Ej påbörjad
Produkter & tjänster,Vätevatten,,,,,Ej påbörjad
Produkter & tjänster,Online PT longevity,,,,,Ej påbörjad
Produkter & tjänster,Seniorgympa,,,,,Ej påbörjad
Produkter & tjänster,Uteträning,,,,,Ej påbörjad
Produkter & tjänster,Slinga Stora Höga,Ev. i samarbete med kommunen,,,,Ej påbörjad
Produkter & tjänster,Årlig hälsokontroll,,,,,Ej påbörjad
Produkter & tjänster,Scalar Celloxy-test,Diagnostiskt test,,,,Ej påbörjad
Produkter & tjänster,Friskvårdsbidrag,Gör tjänster friskvårdsberättigade,,,,Ej påbörjad
Marknadsföring & varumärke,Marknadsföring (övergripande plan),,,,,Ej påbörjad
Marknadsföring & varumärke,Logga 'House of Awesome',,,,,Ej påbörjad
Marknadsföring & varumärke,Optimera hemsidans synlighet,SEO / synlighet,,,,Ej påbörjad
Marknadsföring & varumärke,Skärmar Hemköp – uppdatera,,,,,Ej påbörjad
Marknadsföring & varumärke,Skyltar & kommunen,Skyltlov,,,,Ej påbörjad
Marknadsföring & varumärke,Skyltar 'cirkus',,,,,Ej påbörjad
Marknadsföring & varumärke,Visitkort,,,,,Ej påbörjad
Marknadsföring & varumärke,Goodiebag,,,,,Ej påbörjad
Marknadsföring & varumärke,Fotosession,,,,,Ej påbörjad
Marknadsföring & varumärke,"Kläder, vattenflaskor, kopparflaska",Profilprodukter / merch,,,,Ej påbörjad
Sociala medier & content,Sociala medier (övergripande plan),,,,,Ej påbörjad
Sociala medier & content,Poddar – sätt dagar,,,,,Ej påbörjad
Sociala medier & content,Poddstudio,,,,,Ej påbörjad
Sociala medier & content,Dagens P.S.,Dagligt inlägg/tips,,,,Ej påbörjad
Sociala medier & content,Byt Instagram från AB,Byt konto från AB:t,,,,Ej påbörjad
Sociala medier & content,Lukas tjänster – hemsida/foto,Media/content via Lucas,,,,Ej påbörjad
Försäljning,Leads – ringa,,,,,Ej påbörjad
Försäljning,"Säljare: Markus, Andreas, Linus",,,,,Ej påbörjad
Försäljning,Provisionsupplägg säljare,,,,,Ej påbörjad
Samarbeten & partners,Frisörer,Hyresgäster/samarbete i huset,,,,Ej påbörjad
Samarbeten & partners,Nyttoteket,Leverantör/samarbete – verifiera,,,,Ej påbörjad
Samarbeten & partners,Edura,Leverantör/samarbete – verifiera,,,,Ej påbörjad
Samarbeten & partners,Besöka Age Back,Studiebesök / benchmark,,,,Ej påbörjad
Samarbeten & partners,Idrottsklubbar & föreningar,,,,,Ej påbörjad
Samarbeten & partners,West Coast Bike,,,,,Ej påbörjad
Samarbeten & partners,Erik Primal,Extern coach/samarbete – verifiera,,,,Ej påbörjad
Samarbeten & partners,Cera Thrive,Leverantör/varumärke – verifiera,,,,Ej påbörjad
Samarbeten & partners,"Hocatt, Carol Morozko, OneBase, Vasper, ARX",Avtal & prislistor för behandlingsutrustning,,,,Ej påbörjad
Avtal & juridik,Hyresavtal terapeuter,,,,,Ej påbörjad
Avtal & juridik,Försäkring,,,,,Ej påbörjad
Avtal & juridik,Fysio – sjukförsäkringen,Bli godkänd vårdgivare hos försäkringsbolag,,,,Ej påbörjad
Ekonomi,Ekonomi (budget/övergripande),,,,,Ej påbörjad
Ekonomi,Leasingar / skjuta lån,,,,,Ej påbörjad
Ekonomi,Hyresrabatt,Förhandla,,,,Ej påbörjad
"Personal, coacher & kompetens",Pajtim,Roll/onboarding – förtydliga,,,,Ej påbörjad
"Personal, coacher & kompetens",Coachning longevity – lär upp Lucas,,,,,Ej påbörjad
